customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
12346,325,1,77183.6,1,1,5,115,Lost Customers
12347,1,7,4310,5,5,5,555,At Risk
12348,74,4,1797.24,2,4,4,244,At Risk
12349,18,1,1757.55,4,1,4,414,Others
12350,309,1,334.4,1,1,2,112,Lost Customers
12352,35,8,2506.04,3,5,5,355,At Risk
12353,203,1,89,1,1,1,111,Lost Customers
12354,231,1,1079.4,1,1,4,114,Lost Customers
12355,213,1,459.4,1,1,2,112,Lost Customers
12356,22,3,2811.43,4,3,5,435,At Risk
12357,32,1,6207.67,4,1,5,415,Others
12358,1,2,1168.06,5,2,4,524,Others
12359,57,4,6310.03,3,4,5,345,At Risk
12360,51,3,2662.06,3,3,5,335,At Risk
12361,286,1,189.9,1,1,1,111,Lost Customers
12362,2,10,5226.23,5,5,5,555,At Risk
12363,109,2,552,2,2,3,223,Others
12364,7,4,1313.1,5,4,4,544,At Risk
12365,290,2,641.38,1,2,3,123,Others
12367,3,1,168.9,5,1,1,511,Others
12370,50,4,3541.94,3,4,5,345,At Risk
12371,44,2,1887.96,3,2,4,324,Others
12372,71,3,1298.04,3,3,4,334,At Risk
12373,310,1,364.6,1,1,2,112,Lost Customers
12374,24,1,742.93,4,1,3,413,Others
12375,10,2,457.5,5,2,2,522,Others
12377,314,2,1628.12,1,2,4,124,Others
12378,129,1,4008.62,2,1,5,215,Others
12379,81,2,852.24,2,2,3,223,Others
12380,21,4,2724.81,4,4,5,445,At Risk
12381,4,5,1845.31,5,4,4,544,At Risk
12383,184,5,1850.56,1,4,4,144,Loyal Customers
12384,28,2,585.27,4,2,3,423,Others
12386,337,2,401.9,1,2,2,122,Others
12388,15,6,2780.66,4,4,5,445,At Risk
12390,79,1,549.84,2,1,3,213,Others
12391,21,1,439.66,4,1,2,412,Others
12393,71,4,1582.6,3,4,4,344,At Risk
12394,63,2,1272.48,3,2,4,324,Others
12395,18,12,3018.63,4,5,5,455,At Risk
12397,35,2,2409.9,3,2,5,325,Others
12398,45,1,1635.66,3,1,4,314,Others
12399,118,4,1108.65,2,4,4,244,At Risk
